state,district,lab_name,address,phone,email,services,timings,fees,report_time
Punjab,Amritsar,Amritsar Soil Testing Laboratory,"Department of Agriculture, Amritsar, Punjab",+91-1800-180-1551,soil.amritsar@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Punjab,Ludhiana,Ludhiana Soil Testing Laboratory,"Department of Agriculture, Ludhiana, Punjab",+91-1800-180-1551,soil.ludhiana@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Punjab,Patiala,Patiala Soil Testing Laboratory,"Department of Agriculture, Patiala, Punjab",+91-1800-180-1551,soil.patiala@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Punjab,Jalandhar,Jalandhar Soil Testing Laboratory,"Department of Agriculture, Jalandhar, Punjab",+91-1800-180-1551,soil.jalandhar@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Punjab,Bathinda,Bathinda Soil Testing Laboratory,"Department of Agriculture, Bathinda, Punjab",+91-1800-180-1551,soil.bathinda@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Haryana,Karnal,Karnal Soil Testing Laboratory,"Department of Agriculture, Karnal, Haryana",+91-1800-180-1551,soil.karnal@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Haryana,Panipat,Panipat Soil Testing Laboratory,"Department of Agriculture, Panipat, Haryana",+91-1800-180-1551,soil.panipat@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Haryana,Ambala,Ambala Soil Testing Laboratory,"Department of Agriculture, Ambala, Haryana",+91-1800-180-1551,soil.ambala@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Haryana,Hisar,Hisar Soil Testing Laboratory,"Department of Agriculture, Hisar, Haryana",+91-1800-180-1551,soil.hisar@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Haryana,Rohtak,Rohtak Soil Testing Laboratory,"Department of Agriculture, Rohtak, Haryana",+91-1800-180-1551,soil.rohtak@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Uttar Pradesh,Lucknow,Lucknow Soil Testing Laboratory,"Department of Agriculture, Lucknow, Uttar Pradesh",+91-1800-180-1551,soil.lucknow@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Uttar Pradesh,Kanpur,Kanpur Soil Testing Laboratory,"Department of Agriculture, Kanpur, Uttar Pradesh",+91-1800-180-1551,soil.kanpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
